,Video Name,Arena,Trial Duration(Second),Last Modified Date,Animal id,Treatment,Side of partner,Timepoint,Sex,Cohort,Timeofday,Pair,Color,Novel,huddle time partner,huddle time novel,huddle time total,percent phuddle,chamber time partner,chamber time novel,chamber time center,latency partner huddle,latency novel huddle
44,CSIVideo_2022_6_6_11_10_19.mpg,5,9000,11/4/2022 9:39,4958,FF,left,LT,F,2,am,4958x4901,O,4977,3940.44,284.98,4225.42,0.932555817,7053.22,1285.79,2460.99,192.43,160.46
41,CSIVideo_2022_6_6_11_10_19.mpg,2,9000,11/4/2022 9:39,4960,FM,right,LT,F,2,am,4960x4928,O,4987,3177.38,2.84,3180.22,0.99910698,7410.38,264.16,3125.46,10.48,470.97
46,CSIVideo_2022_6_6_11_10_19.mpg,7,9000,11/4/2022 9:40,4893,MM,right,LT,M,2,am,4893x4910,O,4961,4350.25,677.74,5027.99,0.865206574,5568.1,2106.61,3125.29,19.79,34.37
47,CSIVideo_2022_6_6_16_15_9.mpg,1,9000,11/4/2022 9:41,4909,FM,right,LT,M,2,pm,4921x4909,B,4978,3759.76,0,3759.76,1,6091.49,269.84,4438.67,51.52, 
48,CSIVideo_2022_6_6_16_15_9.mpg,2,9000,11/4/2022 9:41,4928,FM,left,LT,M,2,pm,4960x4928,B,4964,5232.53,984.28,6216.81,0.841674428,5892.23,2460.53,2447.24,27.63,103.3
49,CSIVideo_2022_6_6_16_15_9.mpg,3,9000,11/4/2022 9:41,4962,FM,right,LT,F,2,pm,4962x4925,O,4984,4556.96,13.45,4570.41,0.997057157,7140.54,398.83,3260.63,12.81,6782.82
50,CSIVideo_2022_6_6_16_15_9.mpg,4,9000,11/4/2022 9:43,4896,FM,left,LT,F,2,pm,4896x4894,O,4945,6079.21,41.54,6120.75,0.99321325,8309.78,297.7,2192.52,160.66,133.6
52,CSIVideo_2022_6_6_16_15_9.mpg,6,9000,11/4/2022 9:44,4898,FF,left,LT,F,2,pm,4898x4920,O,4926,6274.97,0,6274.97,1,7708.01,125.83,2966.16,89.79, 
51,CSIVideo_2022_6_6_16_15_9.mpg,5,9000,11/4/2022 9:44,4901,FF,right,LT,F,2,pm,4958x4901,B,4927,5540.71,27.06,5567.77,0.995139885,7279.35,474.24,3046.41,307.24,829.86
53,CSIVideo_2022_6_6_16_15_9.mpg,7,9000,11/4/2022 9:44,4910,MM,left,LT,M,2,pm,4893x4910,B,4948,2443.94,137.17,2581.11,0.946856198,5637.4,2341.11,2821.49,89.99,42.44
63,CSIVideo_2022_7_13_16_37_9.mpg,2,9000,11/4/2022 12:56,4931,FM,left,ST,M,3,pm,4968x4931,B,4926,2771.04,39.07,2810.11,0.98609663,5997.03,2081.51,2721.46,254.59,39.24
62,CSIVideo_2022_7_13_16_37_9.mpg,1,9000,11/4/2022 12:56,4967,FM,right,ST,M,3,pm,4918x4967,B,4977,4590.46,73.37,4663.83,0.984268295,6028.16,2079.61,2692.23,49.02,97.86
